日期,国家,节日/活动名,节日热搜词,对应品类/款式热搜词,热度推荐,提前两个月标题加关键词
2027-04-21,巴西,巴西利亚建城日（Aniversário de Brasília）,Aniversário de Brasília；巴西利亚建城日；首都纪念日；城市庆典,巴西利亚主题男装；城市纪念Tee；绿黄配色polo；休闲穿搭；首都纪念衫；城市风格男装,1,
2027-04-22,全部18国,世界地球日（Earth Day）,Earth Day；世界地球日；环保；可持续发展；绿色生活；环境保护,环保主题男装；有机棉Tee；绿色系衬衫；环保图案卫衣；绿色系polo；自然主题穿搭,2,
2027-05-01,全部18国,国际劳动节（Día del Trabajo / Labor Day / Día do Trabalho）,Día del Trabajo；Labor Day；Día do Trabalho；国际劳动节；五月一日；工人权利；劳动者,劳动节男装；休闲穿搭；polo衫；休闲衬衫；运动套装；男士短裤；帆布鞋；春夏过渡穿搭；基础款Tee；休闲运动裤,3,
2027/05~2027/10,美国,婚礼季,Wedding Season；婚礼派对；婚礼季,礼服裙；婚礼西装；西服套装；女士婚礼宾客连衣裙,3,
2027-05-01,美国,劳动节（May Day / Labor Day Sale）,May Day sale；Labor Day sale；劳动节；五月一日,男装劳动节；春季男装；polo衫特卖；休闲衬衫；运动套装；男士短裤；春夏过渡男装,3,
2027-05-03,墨西哥/中美洲/南美各国,圣十字日（Dia de la Santa Cruz）,Dia de la Santa Cruz；圣十字日；五月三日；建筑工人节；十字架；宗教传统,建筑工人主题Tee；工作风格男装；安全帽图案衬衫；蓝领风格穿搭；休闲工装裤；厚款帆布外套；工装风男装,1,
2027-05-05,墨西哥/美国,五月五日节（Cinco de Mayo）,Cinco de Mayo；五月五日节；普埃布拉战役；墨西哥文化；爱国纪念；龙舌兰；墨西哥美食,五月五日节男装；墨西哥国旗色Tee；绿白红配色polo；仙人掌印花衬衫；节庆派对穿搭；墨西哥风格男装；宽边帽；龙舌兰主题Tee,3,
2027-05-08,巴西,母亲节（Dia das Mães）,Dia das Mães；巴西母亲节；五月第二个周日；母亲礼物；家庭聚会,母亲节男装(送礼)；母子装Tee；家族聚会穿搭；礼物推荐；男士polo；休闲衬衫；春季穿搭；母亲节主题Tee,3,
2027-05-09,美国/加拿大/中美洲/南美各国/墨西哥,母亲节（Mother's Day / Día de la Madre）,Mother's Day；Día de la Madre；母亲节；五月第二个周日；母亲礼物；康乃馨；家庭聚会,母子装Tee；家族聚会穿搭；礼物推荐；休闲衬衫；母亲节主题Tee；母女亲子装；母亲节礼物,4,
2027-05-10,墨西哥/中美洲/南美各国,母亲节（Día de la Madre）- 固定日期,Día de la Madre；墨西哥母亲节；五月十日；母亲礼物；家庭聚会,母亲节男装(送礼)；母子装Tee；家族聚会穿搭；礼物推荐；男士polo；休闲衬衫；春季穿搭；母亲节主题Tee,3,
2027/5/15~2027/6/15,美国,毕业季（Graduation period）,graduation；kindergarten graduation 幼儿园毕业；graduation gifts class of 27 27年毕业礼物；teacher appreciation gifts 教师感恩礼物；graduation gifts 毕业礼物,毕业礼服/正装/礼服裙；学士服；签名纪念T恤；毕业礼物；教师感谢礼物；女孩礼服,4,
2027-05-17,乌拉圭,国旗日（Día de la Bandera）,Día de la Bandera；乌拉圭国旗日；五月十八日；国旗纪念；爱国主义,乌拉圭国旗主题男装；蓝白配色Tee；国旗印花polo；国旗主题卫衣；国旗色围巾；休闲穿搭；足球风格球衣,1,
2027-05-20,古巴(参考)/多米尼加/中美洲,古巴独立日（Día de la Independencia de Cuba）,Día de la Independencia；古巴独立日；五月二十日；历史纪念(参考),加勒比主题男装；古巴风格衬衫(参考)；热带印花Tee；休闲短裤；巴拿马帽；轻薄亚麻衬衫；热带风格穿搭,1,
2027-05-31,美国,阵亡将士纪念日（Memorial Day）,Memorial Day；阵亡将士纪念日；五月最后一个周一；夏季开始；国旗；游行；爱国,夏季男装上新大促；男士polo衫折扣；休闲短裤特卖；运动套装促销；爱国主题Tee；国旗配色,5,
2027-06-01~06-30,巴西,六月节（Festa Junina）,Festa Junina；六月节；圣若昂；圣安东尼奥；圣佩德罗；方块舞；营火；彩旗；玉米美食；巴西冬季,巴西六月节男装；法兰绒格子衬衫；牛仔背带裤；男士冬季卫衣；乡村风格男装；印花T恤；羊毛衫；冬靴；格纹衬衫；牛仔裤；冬季夹克,4,
2027-06-01~06-30,美国/加拿大,骄傲月（Pride Month）,Pride Month；骄傲月；LGBT；彩虹；平权；骄傲游行,彩虹主题男装；骄傲月Tee；彩虹配色polo；彩虹图案卫衣；平权主题衬衫；彩虹配饰；骄傲月穿搭,3,
2027-06-07~06-15,巴西,圣安东尼奥节（Santo Antônio）,Santo Antônio；圣安东尼奥；六月十三日；六月节开始；婚姻守护神,六月节男装；法兰绒衬衫；牛仔背带裤；乡村风格男装；冬季卫衣；格纹衬衫；羊毛衫；女童裙裤；草帽；六月节穿搭,2,
2027-06-10~06-28,巴西,帕林廷斯民俗节（Festival de Parintins）,Festival de Parintins；帕林廷斯民俗节；Boi-Bumbá；红牛蓝牛；亚马逊文化；民俗表演,亚马逊民俗风格男装；红牛蓝牛主题Tee；民族风格衬衫；彩色印花男装；传统舞蹈服饰；节庆穿搭；民族风卫衣,2,
2027-06-12,巴西,情人节（Dia dos Namorados）,Dia dos Namorados；巴西情人节；六月十二日；情侣；浪漫；约会,巴西情人节男装；情侣装Tee；男士约会穿搭；红色系衬衫；男士内衣；情侣polo；约会正装；男士香水；浪漫主题Tee,4,
2027-06-15,美国/加拿大/中美洲/南美各国,父亲节（Father's Day / Día del Padre）,Father's Day；Día del Padre；父亲节；六月第三个周日；父亲礼物；家庭聚会；领带；啤酒；烧烤,父亲节男装；父子装Tee；父亲礼物推荐；男士polo衫；运动套装；男士手表；男士背包；休闲运动裤；男士内衣；礼盒装服饰；父亲节送爸爸的礼物,5,
2027-06-19,美国,六月节（Juneteenth）,Juneteenth；六月节；六月十九日；解放日；非裔美国人自由；黑人文化,六月节女孩/男孩穿搭；自由主题男装；非裔文化Tee；红黑绿色系穿搭；民权图案衬衫；自由纪念卫衣；文化自豪主题Tee；非洲风格印花,3,
2027-06-21,阿根廷,父亲节（dia del padre）,dia del padre（父亲节）；regalos para el día del padre（父亲节礼物）,,4,
2027-06-23~06-24,巴西,圣若昂节（São João）,São João；圣若昂节；六月节高潮；营火；方块舞；玉米美食；巴西东北部,圣若昂节男装；法兰绒格子衬衫；牛仔背带裤；营火主题Tee；乡村风格男装；印花T恤；羊毛衫；格纹衬衫；牛仔裤,3,
2027-06-26,智利,圣佩德罗和圣巴勃罗节（San Pedro y San Pablo）,San Pedro y San Pablo；圣佩德罗和圣巴勃罗；六月二十九日；宗教节日；渔民守护神,渔民风格男装；海事主题Tee；休闲穿搭；保守风格polo；冬季休闲男装；深色系穿搭；节日聚会穿搭,1,
